Volume,VWAP,Open,Close,High,Low,Timestamp,Transactions,Datetime
12985.0,226.4115,226.4499,226.3296,226.49,226.32,1704819000000,227,2024-01-09 16:50:00
21398.0,226.3429,226.36,226.375,226.4,226.2701,1704819060000,297,2024-01-09 16:51:00
15192.0,226.316,226.35,226.35,226.37,226.28,1704819120000,295,2024-01-09 16:52:00
34882.0,226.5411,226.33,226.63,226.7099,226.29,1704819180000,351,2024-01-09 16:53:00
34579.0,226.8291,226.6481,226.94,226.98,226.6304,1704819240000,410,2024-01-09 16:54:00
71853.0,227.0037,226.9,227.0001,227.2999,226.85,1704819300000,694,2024-01-09 16:55:00
36058.0,227.1205,227.0,227.08,227.2367,227.0,1704819360000,402,2024-01-09 16:56:00
27008.0,227.1228,227.0942,227.1,227.216,227.0,1704819420000,347,2024-01-09 16:57:00
28037.0,227.1622,227.1176,227.235,227.28,227.05,1704819480000,281,2024-01-09 16:58:00
26431.0,227.1369,227.24,227.09,227.24,227.09,1704819540000,352,2024-01-09 16:59:00
34653.0,227.0688,227.09,227.06,227.17,226.9701,1704819600000,516,2024-01-09 17:00:00
29685.0,227.1161,227.0406,227.26,227.26,227.01,1704819660000,459,2024-01-09 17:01:00
46917.0,227.3524,227.2598,227.4273,227.48,227.2598,1704819720000,593,2024-01-09 17:02:00
39778.0,227.2847,227.43,227.23,227.44,227.13,1704819780000,524,2024-01-09 17:03:00
53655.0,227.0721,227.2,226.96,227.27,226.9,1704819840000,518,2024-01-09 17:04:00
29591.0,226.9178,226.94,226.8512,227.0717,226.8,1704819900000,371,2024-01-09 17:05:00
24380.0,226.7225,226.87,226.65,226.91,226.625,1704819960000,377,2024-01-09 17:06:00
27358.0,226.6723,226.63,226.6797,226.7753,226.59,1704820020000,488,2024-01-09 17:07:00
29364.0,226.7186,226.65,226.75,226.86,226.63,1704820080000,408,2024-01-09 17:08:00
31109.0,226.7757,226.7721,226.74,226.95,226.69,1704820140000,341,2024-01-09 17:09:00
14524.0,226.7743,226.735,226.8,226.84,226.68,1704820200000,313,2024-01-09 17:10:00
16786.0,226.8984,226.825,226.94,226.95,226.825,1704820260000,266,2024-01-09 17:11:00
55301.0,227.0494,226.9427,227.24,227.24,226.92,1704820320000,619,2024-01-09 17:12:00
29429.0,227.073,227.205,227.03,227.22,226.93,1704820380000,446,2024-01-09 17:13:00
22527.0,227.0048,227.0499,226.97,227.09,226.9447,1704820440000,380,2024-01-09 17:14:00
34792.0,226.945,226.9501,226.86,227.0,226.86,1704820500000,451,2024-01-09 17:15:00
16518.0,226.8778,226.87,226.81,226.95,226.8,1704820560000,283,2024-01-09 17:16:00
31481.0,226.8787,226.8,226.87,226.99,226.8,1704820620000,449,2024-01-09 17:17:00
40366.0,227.0688,226.91,227.3614,227.3614,226.895,1704820680000,481,2024-01-09 17:18:00
49613.0,227.2153,227.345,227.03,227.39,226.99,1704820740000,425,2024-01-09 17:19:00
23694.0,226.9484,227.0739,226.92,227.0739,226.8,1704820800000,406,2024-01-09 17:20:00
31469.0,226.9794,226.945,227.2899,227.2899,226.83,1704820860000,351,2024-01-09 17:21:00
25713.0,227.3506,227.2999,227.3245,227.4699,227.255,1704820920000,331,2024-01-09 17:22:00
21360.0,227.3584,227.3999,227.365,227.4309,227.2501,1704820980000,322,2024-01-09 17:23:00
21575.0,227.3145,227.4,227.27,227.4323,227.23,1704821040000,239,2024-01-09 17:24:00
19076.0,227.1161,227.25,227.02,227.25,227.0,1704821100000,354,2024-01-09 17:25:00
24837.0,227.0811,227.0474,227.13,227.1599,227.02,1704821160000,256,2024-01-09 17:26:00
19177.0,226.9187,227.095,226.81,227.095,226.8001,1704821220000,300,2024-01-09 17:27:00
21176.0,226.9047,226.835,226.87,226.9599,226.835,1704821280000,290,2024-01-09 17:28:00
24845.0,226.8417,226.875,226.88,226.93,226.78,1704821340000,322,2024-01-09 17:29:00
