,category,datetime,headline,id,image,related,source,summary,url
189,company,1706530680,Tesla among top 10 most oversold stocks on Wall Street,125381072,,BA,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=2db89e19285a4785f283a585ccaeab299cf8aab9b1e5525dce389724a6333a0b
190,company,1706528990,Aircraft lessor DAE sounds warning on Boeing problems,125374106,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,"The head of Dubai Aerospace Enterprise (DAE) Capital warned on Monday that Boeing's 737 MAX problems had reached a point where the lessor would have to make a ""hard decision"" on whether the planemaker could get on top of its issues.  ""Fundamentally what is happening at Boeing is something that is at the point where we need to make a hard decision as to whether it's structural or is something that they can get their hands around,"" Firoz Tarapore told the Airline Economics conference.",https://finnhub.io/api/news?id=a88f181ab2d34ff76bd11a6cbcf567495a20fd652d8a951a2108a20c14f2b1bb
191,company,1706528940,Boeing Expert Says 737 MAX Freeze & Certification Challenges May Lead To Customer Loss: BofA Analyst,125383837,,BA,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ea4311b42211c3acd3f06970d837bbad20b423be1f8472ce3cfb9b157d0e4367
192,company,1706528580,10 Industrials Stocks Whale Activity In Today's Session,125382861,,BA,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=debcfa5f1f80475e1b006c1cbdcaf81bcaba2e45f084a2d53770dd2baaf24933
193,company,1706528580,"Big Tech Earnings, Fed Decision, Jobs… Why S&P 500’s Record Run Could Derail.",125374107,,BA,Yahoo,"United seeks options as Boeing’s Max 9 returns to the skies, Evergrande liquidation is a landmark moment for China property, and other news to start your day.",https://finnhub.io/api/news?id=288694c2f4aed4a1028c273aa10b3d603329983bcf7887db9f0c6db1aac1efa4
194,company,1706528160,Boeing Gets Some Good News. Ryanair Is Still a MAX Buyer.,125373460,https://s.yimg.com/ny/api/res/1.2/nAjb_C_WH9ZsxauJ20PgDA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/Barrons.com/4db35e8e47a8d129ce39e3a81cf7263a,BA,Yahoo,"Ryanair CEO Michael O’Leary says that if any U.S. airlines refuse to take delivery of Boeing’s 737 MAX 10 aircraft, the low-cost carrier will buy them instead.",https://finnhub.io/api/news?id=af19f53bc584599ef974f648371948635b82c94d9fd07cc2a27ac3f62bf4afcb
195,company,1706527597,"Airbus Books Over 2,000 Orders, Cancels $10 Billion Iran Airplane Order",125377791,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202305861/image_1202305861.jpg?io=getty-c-w1536,BA,SeekingAlpha,"Airbus booked over 2,000 airplane orders in 2023, with market value of approximately $163b. It delivered 735 airplanes in 2023. Find out why EADSY stock is a Buy.",https://finnhub.io/api/news?id=64f457d60bc7147172dba299d130240124d753b6050b3966f53644b21432d20f
196,company,1706527140,"Marathon Petroleum, Exxon among BofA picks for options opportunity on earnings surprise",125379706,,BA,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=4cb8c9eceab94d3d7273c256ee0f9bf73f2f4e0e0390ce14751d34908a8a903b
197,company,1706527080,Boeing (NYSE:BA) Slips as Manufacturing Troubles Continue,125388711,,BA,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=5a01f0577d1dfb891e494cb577536b8c5f9e9a09cd722509ae3d6884e91c1078
198,company,1706526968,News Highlights : Top Company News of the Day - Monday at 11 AM ET,125377561,,BA,Finnhub,Amazon Abandons iRobot Deal Amid Regulatory Scrutiny Amazon will pay Roomba maker a $94 million termination fee after the EU raised concerns that the tie-up would restrict competition in the...,https://finnhub.io/api/news?id=11a1170fda11e7168419d330cbeefd0b61806d52256a1f0fa716e56b0f8a767a
